25 3rd Cash ratio: 31.1%
25 2nd Cash ratio: 29.6%
25 1st Cash ratio: 29.9%
24 3rd Cash ratio: 28.3%
24 2nd Cash ratio: 25.0%
24 1st Cash ratio: 17.7%
23 3rd Cash ratio: 15.4%
23 2nd Cash ratio: 14.1%
23 1st Cash ratio: 14.9%
22 3rd Cash ratio: 12.1%
22 2nd Cash ratio: 11.6%
22 1st Cash ratio: 11.0%
21 3rd Cash ratio: 16.2%
21 2nd Cash ratio: 15.8%
21 1st Cash ratio: 16.4%
20 3rd Cash ratio: 17.6%
20 2nd Cash ratio: 18.6%
20 1st Cash ratio: 18.1%
19 3rd Cash ratio: 16.3%
19 2nd Cash ratio: 16.1%
19 1st Cash ratio: 15.5%
18 3rd Cash ratio: 13.8%
18 2nd Cash ratio: 15.4%
18 1st Cash ratio: 15.1%
17 3rd Cash ratio: 15.3%
17 2nd Cash ratio: 13.9%
17 1st Cash ratio: 9.9%
16 3rd Cash ratio: 18.1%
16 2nd Cash ratio: 16.3%
16 1st Cash ratio: 14.1%
15 3rd Cash ratio: 17.1%
15 2nd Cash ratio: 17.3%
15 1st Cash ratio: 17.1%
14 3rd Cash ratio: 17.6%
14 3rd Cash ratio: 17.6%
13 3rd Cash ratio: 15.5%
12 3rd Cash ratio: 18.6%
11 3rd Cash ratio: 17.6%


# manual update
07 3rd Cash ratio: 24.2%
06 3rd Cash ratio: 25.6%
05 3rd Cash ratio: 36.2%
04 3rd Cash ratio: 36.2%
03 3rd Cash ratio: 33.7%
02 3rd Cash ratio: 28.7%
01 3rd Cash ratio: 25.0%
99 3rd Cash ratio: 28.2%
98 3rd Cash ratio: 22.2%
97 3rd Cash ratio: 19.4%
96 3rd Cash ratio: 18.6%

